,Circuit,Width,Depth,MaxDens,AvgDens,NoP-X,NoP-Z,NoH,%SpposQ,NoOtherSG,TNoSQG,TNoCSQG,NoSWAP,NoCNOT,%QInCNOT,MaxCNOT,NoToff,%QInToff,MaxToff,NoGates,NoCGates,%SGates,NoOr,NoCOr,%QInOr,%QInCOr,AvgOrD,MaxOrD,NoM,Difficulty_Score
0,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,2
1,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,0
2,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,1
3,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,0
4,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,0
5,37,2,3,1,1.0,0,0,2,0.5,0,2,0,0,1,1.0,1,0,0.0,0,3,1,0.6667,0,0,0.0,0.0,0.0,0,0,2
6,21,3,4,1,1.0,1,0,0,0.0,1,2,0,0,2,1.0,2,0,0.0,0,4,2,0.5,0,0,0.0,0.0,0.0,0,1,1
7,20,3,3,1,1.0,0,0,0,0.0,1,1,0,0,2,1.0,2,0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,0
8,20,3,3,1,1.0,0,0,0,0.0,1,1,0,0,2,1.0,2,0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,0
9,20,3,3,1,1.0,0,0,0,0.0,1,1,0,0,2,1.0,2,0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,0
10,20,3,3,1,1.0,0,0,0,0.0,1,1,0,0,2,1.0,2,0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,0
11,6,3,7,2,1.1429,0,0,2,0.3333,2,4,1,0,3,1.0,2,0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,1
12,6,3,7,2,1.1429,0,0,2,0.3333,2,4,1,0,3,1.0,2,0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,2
13,6,3,7,2,1.1429,0,0,2,0.3333,2,4,1,0,3,1.0,2,0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,2
14,6,3,7,2,1.1429,0,0,2,0.3333,2,4,1,0,3,1.0,2,0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,1
15,6,3,7,2,1.1429,0,0,2,0.3333,2,4,1,0,3,1.0,2,0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,1
16,17,3,5,3,1.4,2,0,3,1.0,0,5,0,0,2,1.0,1,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,1
17,17,3,5,3,1.4,2,0,3,1.0,0,5,0,0,2,1.0,1,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,1
18,17,3,5,3,1.4,2,0,3,1.0,0,5,0,0,2,1.0,1,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,1
19,17,3,5,3,1.4,2,0,3,1.0,0,5,0,0,2,1.0,1,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,0
20,17,3,5,3,1.4,2,0,3,1.0,0,5,0,0,2,1.0,1,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,2
21,30,2,8,2,0.875,0,1,2,0.5,2,5,0,0,2,1.0,2,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,2,1
22,30,2,8,2,0.875,0,1,2,0.5,2,5,0,0,2,1.0,2,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,2,0
23,30,2,8,2,0.875,0,1,2,0.5,2,5,0,0,2,1.0,2,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,2,2
24,30,2,8,2,0.875,0,1,2,0.5,2,5,0,0,2,1.0,2,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,2,0
25,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1
26,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,2
27,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1
28,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,2
29,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1
30,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,0
31,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,0
32,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,2
33,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,1
34,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,2
35,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,2
36,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,1
37,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,1
38,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,1
39,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,2
40,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,1
41,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,2
42,4,4,5,4,2.4,1,0,7,0.0,3,11,0,0,0,0.0,0,0,0.0,0,12,0,0.9167,1,0,1.0,0.0,4.0,4,3,0
43,4,4,5,4,2.4,1,0,7,0.0,3,11,0,0,0,0.0,0,0,0.0,0,12,0,0.9167,1,0,1.0,0.0,4.0,4,3,1
44,4,4,5,4,2.4,1,0,7,0.0,3,11,0,0,0,0.0,0,0,0.0,0,12,0,0.9167,1,0,1.0,0.0,4.0,4,3,0
45,4,4,5,4,2.4,1,0,7,0.0,3,11,0,0,0,0.0,0,0,0.0,0,12,0,0.9167,1,0,1.0,0.0,4.0,4,3,0
46,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,0
47,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,1
48,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,0
49,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,2
50,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,1
51,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,0
52,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,0
53,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,1
54,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,2
55,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,1
56,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,0
57,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,1
58,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,0
59,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,1
60,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,0
61,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,2
62,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,2
63,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,2
64,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,2
65,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,2
66,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,2
67,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,0
68,46,4,14,4,1.4286,0,0,0,0.0,8,8,0,0,8,1.0,4,0,0.0,0,20,8,0.4,4,0,1.0,0.0,1.0,1,0,0
69,46,4,14,4,1.4286,0,0,0,0.0,8,8,0,0,8,1.0,4,0,0.0,0,20,8,0.4,4,0,1.0,0.0,1.0,1,0,0
70,8,8,5,8,5.2,1,0,16,0.0,8,25,0,0,0,0.0,0,0,0.0,0,26,0,0.9615,1,0,1.0,0.0,8.0,8,8,2
71,8,8,5,8,5.2,1,0,16,0.0,8,25,0,0,0,0.0,0,0,0.0,0,26,0,0.9615,1,0,1.0,0.0,8.0,8,8,0
72,8,8,5,8,5.2,1,0,16,0.0,8,25,0,0,0,0.0,0,0,0.0,0,26,0,0.9615,1,0,1.0,0.0,8.0,8,8,0
73,42,6,12,2,1.4167,6,2,4,0.3333,0,12,1,0,0,0.0,0,4,1.0,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,2
74,42,6,12,2,1.4167,6,2,4,0.3333,0,12,1,0,0,0.0,0,4,1.0,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,2
75,42,6,12,2,1.4167,6,2,4,0.3333,0,12,1,0,0,0.0,0,4,1.0,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,2
76,42,6,12,2,1.4167,6,2,4,0.3333,0,12,1,0,0,0.0,0,4,1.0,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,2
77,42,6,12,2,1.4167,6,2,4,0.3333,0,12,1,0,0,0.0,0,4,1.0,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,1
78,13,8,7,4,1.2857,0,0,4,0.5,0,4,0,0,0,0.0,0,0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,2
79,13,8,7,4,1.2857,0,0,4,0.5,0,4,0,0,0,0.0,0,0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,0
80,13,8,7,4,1.2857,0,0,4,0.5,0,4,0,0,0,0.0,0,0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,1
81,13,8,7,4,1.2857,0,0,4,0.5,0,4,0,0,0,0.0,0,0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,2
82,13,8,7,4,1.2857,0,0,4,0.5,0,4,0,0,0,0.0,0,0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,1
83,35,6,11,3,1.3636,0,0,6,0.5,0,6,0,0,0,0.0,0,0,0.0,0,15,7,0.4,8,6,0.6667,0.6667,1.5,3,0,1
